Row,Col,Question,Answer,Categories,Rows,Cols
1,0,Ano ang tawag sa pambansang wika ng Pilipinas?,Filipino,Uri ng Wika,5,5
2,0,Anong alpabeto ang ginamit ng mga katutubo bago dumating ang Espanyol?,Baybayin,Tama o Mali,,
3,0,Ano ang tawag sa salitang hiniram mula sa ibang wika?,Salitang hiram,Bahagi at Elemento,,
4,0,Ilang titik mayroon sa modernong alpabetong Filipino?,28,Bilang at Sukat,,
5,0,Ano ang pinakamahabang salita sa wikang Filipino?,Pinakapakapakapanabik,Terminolohiya ,,
1,1,Tama ba na ang 'jeepney' ay salitang hiram?,Tama (galing sa 'jeep'),Trivia,,
2,1,Ang 'lamesa' ba ay katutubong salita?,Mali (hiram sa Espanyol),,,
3,1,Ang 'kilig' ba ay sariling salita ng Filipino?,Tama (walang direktang translation),,,
4,1,Tama ba na 20 lang ang titik ng alpabetong Filipino?,Mali (28 ang titik),,,
5,1,Ang 'selfie' ba ay salitang hiram?,Tama (galing sa Ingles),,,
1,2,Anong bahagi ng pananalita ang naglalarawan?,Pang-uri,,,
2,2,Anong tawag sa pag-aaral ng mga tunog?,Ponolohiya,,,
3,2,Anong tawag sa hulapi sa salitang "awitan"?,an,,,
4,2,Ano ang tawag sa libro ng mga kahulugan ng salita?,Diksiyonaryo,,,
5,2,Anong bahagi ng pananalita ang "nang"?,Pang-abay,,,
1,3,Ilang wika ang kinikilala sa Pilipinas?,180+,,,
2,3,Ilang rehiyon may sariling wikang panrehiyon?,17,,,
3,3,Ilang letra mayroon ang salitang "mahal"?,4 (ma-ha-l),,,
4,3,Ilang pantig mayroon ang "Pilipinas"?,4 (Pi-li-pi-nas),,,
5,3,Ilang salita mayroon ang pambansang awit?,158,,,
1,4,Ano ang tawag sa pormal na pagbigkas ng salita?,Palabigkasan,,,
2,4,Ano ang tawag sa di-pormal na salita?,Kolokyal,,,
3,4,Ano ang tawag sa pagbabago ng anyo ng pandiwa?,Panlapi,,,
4,4,Ano ang tawag sa pinagmulan ng salita?,Etimolohiya,,,
5,4,Ano ang tawag sa salitang may parehong baybay ngunit magkaibang kahulugan?,Homonym,,,
1,5,Sino ang ama ng wikang pambansa?,Manuel L. Quezon,,,
2,5,Anong wika ang may pinakamaraming salita sa mundo?,Ingles,,,
3,5,Kailan itinatag ang Surian ng Wikang Pambansa?,1937,,,
4,5,Anong bansa ang may pinakamaraming opisyal na wika?,Timog Africa (11 wika),,,
5,5,Anong salita ang pinakamahirap bigkasin para sa mga dayuhan?,Ngiti (dahil sa 'ng'),,,
