Row,Col,Question,Answer,Categories,Rows,Cols
1,0,Unang tanong,Unang sagot,Kategorya 1,5.0,5.0
2,0,Ikalawang tanong,Ikalawang sagot,Kategorya 2,,
3,0,Ikatlong tanong,Ikatlong sagot,Kategorya 3,,
4,0,Ikaapat na tanong,Ikaapat na sagot,Kategorya 4,,
5,0,Ikalimang tanong,Ikalimang sagot,Kategorya 5,,
1,1,Unang tanong,Unang sagot,Kategorya 6,,
2,1,Ikalawang tanong,Ikalawang sagot,,,
3,1,Ikatlong  ,Ikatlong sagot,,,
4,1,Ikaapat na tanong,Ikaapat na sagot,,,
5,1,Ikalimang tanong,Ikalimang sagot,,,
1,2,Unang tanong ,Unang sagot,,,
2,2,Ikalawang tanong,Ikalawang sagot,,,
3,2,Ikatlong tanong,Ikatlong sagot,,,
4,2,Ikaapat na tanong,Ikaapat na sagot,,,
5,2,Ikalimang tanong,Ikalimang sagot,,,
1,3,Unang tanong,Unang sagot,,,
2,3,Ikalawang tanong,Ikalawang sagot,,,
3,3,Ikatlong tanong,Ikatlong sagot,,,
4,3,Ikaapat na tanong,Ikaapat na sagot,,,
5,3,Ikalimang tanong,Ikalimang sagot,,,
1,4,Unang tanong,Unang sagot,,,
2,4,Ikalawang tanong,Ikalawang sagot,,,
3,4,Ikatlong tanong,Ikatlong sagot,,,
4,4,Ikaapat na tanong,Ikaapat na sagot,,,
5,4,Ikalimang tanong,Ikalimang sagot,,,
1,5,Unang tanong,Unang sagot,,,
2,5,Ikalawang tanong,Ikalawang sagot,,,
3,5,Ikatlong tanong,Ikatlong sagot,,,
4,5,Ikaapat na tanong,Ikaapat na sagot,,,
5,5,Ikalimang tanong,Ikalimang sagot,,,
