Row,Col,Question,Answer,Categories,Rows,Cols
1,0,Asong pang-alaga,Mammal,Klase,5.0,5.0
2,0,Buwaya,Reptile,Tama o Mali,,
3,0,Palaka,Amphibian,Katangian,,
4,0,Gagamba,Insekto,Ilan ang Paa,,
5,0,Agila,Ibon,Ingay ,,
1,1,Ang leon ay isang mammal.,Tama ,Trivia,,
2,1,Ang ahas ay may paa.,Mali ,,,
3,1,Ang tutubi ay insekto.,Tama ,,,
4,1,Ang butiki ay amphibian.,Mali ,,,
5,1,Ang pating ay isda.,Tama,,,
1,2,Anong hayop ang sumisipsip ng gatas sa ina?,Mammal,,,
2,2,Anong hayop ang naglalagay ng itlog sa lupa?,Reptile ,,,
3,2,Anong hayop ang nabubuhay sa tubig at lupa?,Amphibian ,,,
4,2,Anong hayop ang may 6 na paa?,Insekto (Hal: Langgam),,,
5,2,Anong hayop ang may pakpak at balahibo?,Ibon (Hal: Maya),,,
1,3,(Ilang paa ang kangaroo?),2 (Tumatalon gamit hulihan),,,
2,3, (Ilang paa ang ahas?),0 (Gumagapang),,,
3,3, (Ilang paa ang palaka?),4 (May membranong paa),,,
4,3, (Ilang paa ang gagamba?),8 (Hindi insekto!),,,
5,3, (Ilang pakpak ang ibon?),2 (Parehas sa lahat),,,
1,4,Anong tunog ng daga?,Squeak (Skit-skit),,,
2,4,Anong tunog ng buwaya?,Growl (Ungol),,,
3,4,Anong tunog ng palaka?,Kokak (Ribbit),,,
4,4,Anong tunog ng kuliglig?,Chirp (Tiririt),,,
5,4,Anong tunog ng uwak?,Caw (Uwak!),,,
1,5,Pinakamalaking mammal sa mundo?,Blue whale,,,
2,5,Pinakamahabang reptile?,Reticulated python,,,
3,5,Amphibian na walang buntot?,Toad (Lakang),,,
4,5,Insekto na nagdadala ng dengue?,Lamok,,,
5,5,Ibon na hindi makalipad?,Penguin,,,
